bucket,file,candidates,ballots,STAR,IRV,IRV_rev,RR_weak,RR_strict,Approval,Score,Condorcet_weak,Condorcet_strict,tie_ballots,irv_fragile,rr_conv_sensitive,cycle
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_01_baseline_clean.yaml,3,2,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,0,False,False,False
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_02_runoff_tie_2cand.yaml,2,2,Almond,Almond,Brownie,Almond,Almond,Almond,Almond,,Almond,2,True,False,True
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_03_runoff_tie_split.yaml,3,2,Athens,Athens,Athens,Athens,Athens,Athens,Athens,,,0,False,False,True
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_04_scoring_tie_2way.yaml,3,3,Aral,Aral,Aral,Aral,Aral,Aral,Aral,Aral,Aral,2,False,False,False
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_05_scoring_tie_3way_xmyf7k.yaml,5,2,A,A,C,A,A,A,A,,A,2,True,False,True
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_06_scoring_tie_4way.yaml,5,2,Ava,Ava,Dan,Ava,Ava,Ava,Ava,,Ava,2,True,False,True
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_07_fully_flat.yaml,3,2,Ararat,Ararat,Cook,Ararat,Ararat,Ararat,Ararat,,Ararat,2,True,False,True
AGREE,01_STAR/Flat_scores_ties/Flat_scores_ties_08_all_flat_zero_count.yaml,3,5,Anchovy,Anchovy,Caper,Anchovy,Anchovy,Anchovy,Anchovy,,Anchovy,5,True,False,True
AGREE,01_STAR/_main/01a_c2_b1_two-candidates.yaml,2,1,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,0,False,False,False
AGREE,01_STAR/_main/01a_c2_b2_two-candidates.yaml,2,2,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,Chocolate,0,False,False,False
AGREE,01_STAR/_main/01b_c2_b2_two-candidates.yaml,2,2,Choco,Choco,Choco,Choco,Choco,Choco,Choco,Choco,Choco,0,False,False,False
AGREE,01_STAR/_main/01c_c2_b3_two-candidates.yaml,2,3,Choco,Choco,Choco,Choco,Choco,Choco,Choco,Choco,Choco,1,False,False,False
AGREE,01_STAR/_main/02a_c3_b1_three-candidates.yaml,3,1,Choco,Choco,Choco,Choco,Choco,Choco,Choco,Choco,Choco,0,False,False,False
